timestamp_ct,timestamp_utc,camera_name,folder,filepath,size_bytes,md5,status,notes
2026-05-21 12:18:38 CT,2026-05-21 17:18:38 UTC,IH35E @ Valley Ridge,IH35E-Valley-Ridge,images/IH35E-Valley-Ridge/2026-05-21/IH35E-Valley-Ridge_20260521_121838.jpg,214378,d71b4a3532d6f016a07e7be8821cd932,captured,
2026-05-21 12:18:38 CT,2026-05-21 17:18:38 UTC,IH35E @ Valley Ridge North,IH35E-Valley-Ridge-North,images/IH35E-Valley-Ridge-North/2026-05-21/IH35E-Valley-Ridge-North_20260521_121838.jpg,214378,d71b4a3532d6f016a07e7be8821cd932,captured,
2026-05-21 13:13:16 CT,2026-05-21 18:13:16 UTC,DAL,IH35E @ Valley Ridge,DAL-IH35E-Valley-Ridge,images/DAL-IH35E-Valley-Ridge/2026-05-21/DAL-IH35E-Valley-Ridge_20260521_131316.jpg,207987,f7be97d8cf679836228a1b1e4a60a215,captured,
2026-05-21 13:13:16 CT,2026-05-21 18:13:16 UTC,DAL,IH35E @ Valley Ridge North,DAL-IH35E-Valley-Ridge-North,images/DAL-IH35E-Valley-Ridge-North/2026-05-21/DAL-IH35E-Valley-Ridge-North_20260521_131316.jpg,207987,f7be97d8cf679836228a1b1e4a60a215,captured,
2026-05-21 13:13:16 CT,2026-05-21 18:13:16 UTC,AUS,LP-1 @ Steck Ave,AUS-MoPac-Steck,images/AUS-MoPac-Steck/2026-05-21/AUS-MoPac-Steck_20260521_131316.jpg,21600,893d46595f1d380dac76f15d4ff437e7,captured,
2026-05-21 13:13:16 CT,2026-05-21 18:13:16 UTC,HOU,US-290 Northwest @ Gessner (W),HOU-US290-Gessner-W,images/HOU-US290-Gessner-W/2026-05-21/HOU-US290-Gessner-W_20260521_131316.jpg,566861,56bf6fd16a085304c20fd88f0076dfd8,captured,
2026-05-21 13:13:16 CT,2026-05-21 18:13:16 UTC,HOU,US-290 Northwest @ Little York,HOU-US290-LittleYork,images/HOU-US290-LittleYork/2026-05-21/HOU-US290-LittleYork_20260521_131316.jpg,566861,56bf6fd16a085304c20fd88f0076dfd8,captured,
2026-05-21 13:13:16 CT,2026-05-21 18:13:16 UTC,HOU,IH-10 Katy @ SH 6 (W),HOU-Katy-ML-SH6-W,images/HOU-Katy-ML-SH6-W/2026-05-21/HOU-Katy-ML-SH6-W_20260521_131316.jpg,566861,56bf6fd16a085304c20fd88f0076dfd8,captured,
2026-05-21 13:13:16 CT,2026-05-21 18:13:16 UTC,HOU,US-290 Northwest @ Cypress Rosehill,HOU-US290-CypressRosehill,images/HOU-US290-CypressRosehill/2026-05-21/HOU-US290-CypressRosehill_20260521_131316.jpg,566861,56bf6fd16a085304c20fd88f0076dfd8,captured,
2026-05-21 13:13:16 CT,2026-05-21 18:13:16 UTC,SAT,US 281 at Sprucewood,SAT-US281-Sprucewood,images/SAT-US281-Sprucewood/2026-05-21/SAT-US281-Sprucewood_20260521_131316.jpg,82638,d98b870e9081057f96de311f2f97d393,captured,
2026-05-21 13:13:16 CT,2026-05-21 18:13:16 UTC,FTW,IH35W @ Golden Triangle,FTW-IH35W-GoldenTriangle,images/FTW-IH35W-GoldenTriangle/2026-05-21/FTW-IH35W-GoldenTriangle_20260521_131316.jpg,49528,1544e5cc87a83e4aa2e0521188eb2368,captured,
2026-05-21 13:40:11 CT,2026-05-21 18:40:11 UTC,DAL,IH35E @ Valley Ridge,DAL-IH35E-Valley-Ridge,images/DAL-IH35E-Valley-Ridge/2026-05-21/DAL-IH35E-Valley-Ridge_20260521_134011.jpg,206833,22585deabd98fda1e81e8e549ad526ff,captured,
